"hgnc_symbol","entrezgene_id"
"AADAT",51166
"AASS",10157
"ABAT",18
"ALDH3A2",224
"ASPG",374569
"ASRGL1",80150
"BBOX1",8424
"CAD",790
"CDA",978
"CEPT1",10390
"CISD1",55847
"CRTAP",10491
"CTPS1",1503
"CTPS2",56474
"D2HGDH",728294
"DAO",1610
"DDC",1644
"DHTKD1",55526
"DLD",1738
"DLST",1743
"DPYS",1807
"EGLN2",112398
"GFPT1",2673
"GLS",2744
"GLUD1",2746
"GLUD2",2747
"GLUL",2752
"GOT2",2806
"GPT",2875
"GPT2",84706
"HIF1AN",55662
"HPRT1",3251
"HR",55806
"IDH1",3417
"IDH2",3418
"IDH3A",3419
"IDH3B",3420
"IDH3G",3421
"IDO1",3620
"KDM2A",22992
"KDM2B",84678
"KDM3A",55818
"KDM3B",51780
"KDM4A",9682
"KDM4B",23030
"KDM4C",23081
"KDM5A",5927
"KDM5B",10765
"KDM5C",8242
"KDM5D",8284
"KDM6A",7403
"KDM6B",23135
"LPCAT4",254531
"NADSYN1",55191
"OAT",4942
"OGDH",4967
"P3H1",64175
"P4HA1",5033
"P4HB",5034
"PFAS",5198
"PHYH",5264
"PLA2G1B",5319
"PLA2G4A",5321
"PLOD1",5351
"PNP",4860
"PPAT",5471
"PPIB",5479
"PSAT1",29968
"RIOX1",79697
"RIOX2",84864
"SDS",10993
"SDSL",113675
"SLC3A2",6520
"SLC7A5",8140
"SLC7A6",9057
"SLC7A8",23428
"SUGCT",79783
"TAT",6898
"TDO2",6999
"TET1",80312
"TK1",7083
"TK2",7084
"TMLHE",55217
"TPH1",7166
"TPH2",121278
"TYMP",1890
"TYW5",129450
"UPB1",51733
"UPP1",7378
"XDH",7498
